HTS_Number,Description,Country,Variable,Trade_Type,Category,Granularity,Value,Quantity_Description,Month,Year,Relevant_Date,Runtime
900510,BINOCULARS,Greenland,First Unit of Quantity,ForeignExp,Foreign,6,74,number,March,2019,2019-03-31,2026-06-26 10:18:17.294486
901310,"TELESCOPIC SIGHTS FOR FITTING TO ARMS; PERISCOPES; TELESCOPES FOR OPTICAL, PHOTOGRAPHIC, PRECISION, MEDICAL AND ELECTRICAL MACHINES, APPLIANCES, ETC.",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,March,2019,2019-03-31,2026-06-26 10:18:17.294486
901380,"OPTICAL DEVICES, APPLIANCES AND INSTRUMENTS, NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,March,2019,2019-03-31,2026-06-26 10:18:17.294486
901390,"PARTS AND ACCESSORIES FOR LIQUID CRYSTAL DEVICES, LASERS (OTHER THAN LASER DIODES) AND OTHER OPTICAL APPLIANCES AND INSTRUMENTS, NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,March,2019,2019-03-31,2026-06-26 10:18:17.294486
901510,RANGEFINDERS,Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,March,2019,2019-03-31,2026-06-26 10:18:17.294486
901580,"SURVEYING INSTRUMENTS AND APPLIANCES, NESOI, HYDROGRAPHIC, OCEANOGRAPHIC, HYDROLOGICAL, METEOROLOGICAL OR GEOPHYSICAL INSTRUMENTS AND APPLIANCES NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,no units collected,March,2019,2019-03-31,2026-06-26 10:18:17.294486
901590,"PARTS ETC. FOR RANGEFINDERS AND SURVEYING, HYDROGRAPHIC, OCEAN OGRAPHIC, HYDROLOGICAL, METEOROLOGICAL OR GEOPHYSICAL INSTRUMENTS AND APPLIANCES NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,no units collected,March,2019,2019-03-31,2026-06-26 10:18:17.294486
902129,DENTAL FITTINGS; AND PARTS AND ACCESSORIES THEREOF,Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,no units collected,March,2019,2019-03-31,2026-06-26 10:18:17.294486
902519,"THERMOMETERS AND PYROMETERS, NOT COMBINED WITH OTHER INSTRUMENTS, NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,March,2019,2019-03-31,2026-06-26 10:18:17.294486
910111,"WRIST WATCHES, BATTERY POWERED, WITH CASES OF PRECIOUS METAL (OR OF METAL CLAD WITH PRECIOUS METAL), WITH MECHANICAL DISPLAY ONLY",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,March,2019,2019-03-31,2026-06-26 10:18:17.294486
910221,"WRIST WATCHES, NOT BATTERY POWERED, WITH CASES OF MATERIALS (EXCEPT OF OR CLAD WITH PRECIOUS METAL) NESOI, WITH AUTOMATIC WINDING",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,March,2019,2019-03-31,2026-06-26 10:18:17.294486
910229,"WRIST WATCHES, NOT BATTERY POWERED, WITH CASES OF MATERIALS (EXCEPT OF OR CLAD WITH PRECIOUS METAL) NESOI, WITHOUT AUTOMATIC WINDING",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,428,number,March,2019,2019-03-31,2026-06-26 10:18:17.294486
930330,"SPORTING, HUNTING OR TARGET-SHOOTING RIFLES, EXCEPT MUZZLE-LOADING FIREARMS AND COMBINATION SHOTGUN-RIFLES",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,March,2019,2019-03-31,2026-06-26 10:18:17.294486
930520,PARTS AND ACCESSORIES OF SHOTGUNS OR RIFLES OF HEADING 9303,Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,no units collected,March,2019,2019-03-31,2026-06-26 10:18:17.294486
960390,"HAND-OPERATED MECHANICAL (NOT MOTORIZED) FLOOR SWEEPERS, MOPS AND FEATHER DUSTERS; PREPARED KNOTS AND TUFTS FOR BROOM OR BRUSH MAKING, NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,March,2019,2019-03-31,2026-06-26 10:18:17.294486
970600,ANTIQUES OF AN AGE EXCEEDING ONE HUNDRED YEARS,Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,no units collected,March,2019,2019-03-31,2026-06-26 10:18:17.294486
401190,"NEW PNEUMATIC TIRES OF RUBBER, NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,April,2019,2019-04-30,2026-06-26 10:18:17.294486
630622,"TENTS, OF SYNTHETIC FIBERS",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,kilograms,April,2019,2019-04-30,2026-06-26 10:18:17.294486
630790,"MADE-UP TEXTILE ARTICLES, NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,kilograms,April,2019,2019-04-30,2026-06-26 10:18:17.294486
700719,"TOUGHENED (TEMPERED) SAFETY GLASS, NOT SUITABLE FOR INCORPORATION IN VEHICLES, AIRCRAFT, SPACECRAFT OR VESSELS",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,square meters,April,2019,2019-04-30,2026-06-26 10:18:17.294486
732690,"ARTICLES OF IRON OR STEEL, NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,kilograms,April,2019,2019-04-30,2026-06-26 10:18:17.294486
840734,"SPARK-IGNITION RECIPROCATING PISTON ENGINES FOR PROPULSION OF VEHICLES EXCEPT RAILWAY OR TRAMWAY STOCK, OVER 1,000 CC CYLINDER CAPACITY",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,April,2019,2019-04-30,2026-06-26 10:18:17.294486
841330,"FUEL, LUBRICATING OR COOLING MEDIUM PUMPS FOR INTERNAL COMBUSTION PISTON ENGINES",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,April,2019,2019-04-30,2026-06-26 10:18:17.294486
842489,"MECHANICAL APPLIANCES FOR PROJECTING, DISPERSING OR SPRAYING LIQUIDS OR POWDERS, NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,April,2019,2019-04-30,2026-06-26 10:18:17.294486
842542,"JACKS AND HOISTS, HYDRAULIC, EXCEPT BUILT-IN JACKING SYSTEMS USED IN GARAGES",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,April,2019,2019-04-30,2026-06-26 10:18:17.294486
843149,"PARTS AND ATTACHMENTS, NESOI, FOR DERRICKS, CRANES, SELF-PROPELLED BULLDOZERS, GRADERS ETC. AND OTHER GRADING, SCRAPING, ETC. MACHINERY",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,no units collected,April,2019,2019-04-30,2026-06-26 10:18:17.294486
847130,"PORTABLE DIGTL AUTOMATIC DATA PROCESSING MACHINES, WEIGHT NOT MORE THAN 10 KG, CONSISTING OF AT LEAST A CENTRAL PROCESSING UNIT, KEYBOARD & A DISPLAY",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,April,2019,2019-04-30,2026-06-26 10:18:17.294486
847150,"DIGITAL PROCESSING UNITS OTHER THAN THOSE OF 8471.41 AND 8471.49, N.E.S.O.I.",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,April,2019,2019-04-30,2026-06-26 10:18:17.294486
847170,"AUTOMATIC DATA PROCESSING STORAGE UNITS, N.E.S.O.I.",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,April,2019,2019-04-30,2026-06-26 10:18:17.294486
847190,"AUTOMATIC DATA PROCESSING UNTS THEREOF; MAGNETIC/OPTICAL READERS, MACH FOR TRANSCRIBING DATA TO DATA MEDIA IN CODED FORM & MACH FOR PROC DATA, NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,April,2019,2019-04-30,2026-06-26 10:18:17.294486
847330,"PARTS AND ACCESSORIES FOR AUTOMATIC DATA PROCESSING MACHINES AND UNITS THEREOF, MAGNETIC OR OPTICAL READERS, TRANSCRIBING MACHINES, ETC., NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,no units collected,April,2019,2019-04-30,2026-06-26 10:18:17.294486
851712,TELEPHONES FOR CELLULAR NETWORKS OR FOR OTHER WIRELESS NETWORKS,Greenland,First Unit of Quantity,ForeignExp,Foreign,6,50,number,April,2019,2019-04-30,2026-06-26 10:18:17.294486
851762,"MACHINES FOR THE RECEPTION, CONVERSION AND TRANSMISSION OR REGENERATION OF VOICE, IMAGES OR OTHER DATA, INCLUDING SWITCHING AND ROUTING APPARATUS",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,no units collected,April,2019,2019-04-30,2026-06-26 10:18:17.294486
852580,"TELEVISION CAMERAS, DIGITAL CAMERAS AND VIDEO CAMERA RECORDERS",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,April,2019,2019-04-30,2026-06-26 10:18:17.294486
852872,"RECEPTION APPARATUS FOR TELEVISION, COLOR, NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,April,2019,2019-04-30,2026-06-26 10:18:17.294486
854430,"INSULATED IGNITION WIRING SETS AND OTHER WIRING SETS FOR VEHICLES, AIRCRAFT AND SHIPS",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,April,2019,2019-04-30,2026-06-26 10:18:17.294486
870870,ROAD WHEELS AND PARTS AND ACCESSORIES THEREOF FOR MOTOR VEHICLES,Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,no units collected,April,2019,2019-04-30,2026-06-26 10:18:17.294486
871690,"PARTS OF TRAILERS, SEMI-TRAILERS AND OTHER VEHICLES, NOT MECHANICALLY PROPELLED",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,kilograms,April,2019,2019-04-30,2026-06-26 10:18:17.294486
880000,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,no units collected,April,2019,2019-04-30,2026-06-26 10:18:17.294486
890790,"FLOATING STRUCTURES (FOR EXAMPLE, TANKS, COFFERDAMS, LANDING-STAGES, BUOYS AND BEACONS), EXCEPT INFLATABLE RAFTS",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,no units collected,April,2019,2019-04-30,2026-06-26 10:18:17.294486
900211,"OBJECTIVE LENSES AND PARTS AND ACCESSORIES THEREOF FOR CAMERAS, PROJECTORS OR PHOTOGRAPHIC ENLARGERS OR REDUCERS",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,April,2019,2019-04-30,2026-06-26 10:18:17.294486
900510,BINOCULARS,Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,April,2019,2019-04-30,2026-06-26 10:18:17.294486
901310,"TELESCOPIC SIGHTS FOR FITTING TO ARMS; PERISCOPES; TELESCOPES FOR OPTICAL, PHOTOGRAPHIC, PRECISION, MEDICAL AND ELECTRICAL MACHINES, APPLIANCES, ETC.",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,April,2019,2019-04-30,2026-06-26 10:18:17.294486
901380,"OPTICAL DEVICES, APPLIANCES AND INSTRUMENTS, NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,April,2019,2019-04-30,2026-06-26 10:18:17.294486
901390,"PARTS AND ACCESSORIES FOR LIQUID CRYSTAL DEVICES, LASERS (OTHER THAN LASER DIODES) AND OTHER OPTICAL APPLIANCES AND INSTRUMENTS, NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,April,2019,2019-04-30,2026-06-26 10:18:17.294486
901510,RANGEFINDERS,Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,April,2019,2019-04-30,2026-06-26 10:18:17.294486
901580,"SURVEYING INSTRUMENTS AND APPLIANCES, NESOI, HYDROGRAPHIC, OCEANOGRAPHIC, HYDROLOGICAL, METEOROLOGICAL OR GEOPHYSICAL INSTRUMENTS AND APPLIANCES NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,no units collected,April,2019,2019-04-30,2026-06-26 10:18:17.294486
901590,"PARTS ETC. FOR RANGEFINDERS AND SURVEYING, HYDROGRAPHIC, OCEAN OGRAPHIC, HYDROLOGICAL, METEOROLOGICAL OR GEOPHYSICAL INSTRUMENTS AND APPLIANCES NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,no units collected,April,2019,2019-04-30,2026-06-26 10:18:17.294486
902129,DENTAL FITTINGS; AND PARTS AND ACCESSORIES THEREOF,Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,no units collected,April,2019,2019-04-30,2026-06-26 10:18:17.294486
902519,"THERMOMETERS AND PYROMETERS, NOT COMBINED WITH OTHER INSTRUMENTS, NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,April,2019,2019-04-30,2026-06-26 10:18:17.294486
910111,"WRIST WATCHES, BATTERY POWERED, WITH CASES OF PRECIOUS METAL (OR OF METAL CLAD WITH PRECIOUS METAL), WITH MECHANICAL DISPLAY ONLY",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,April,2019,2019-04-30,2026-06-26 10:18:17.294486
910221,"WRIST WATCHES, NOT BATTERY POWERED, WITH CASES OF MATERIALS (EXCEPT OF OR CLAD WITH PRECIOUS METAL) NESOI, WITH AUTOMATIC WINDING",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,April,2019,2019-04-30,2026-06-26 10:18:17.294486
910229,"WRIST WATCHES, NOT BATTERY POWERED, WITH CASES OF MATERIALS (EXCEPT OF OR CLAD WITH PRECIOUS METAL) NESOI, WITHOUT AUTOMATIC WINDING",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,April,2019,2019-04-30,2026-06-26 10:18:17.294486
930330,"SPORTING, HUNTING OR TARGET-SHOOTING RIFLES, EXCEPT MUZZLE-LOADING FIREARMS AND COMBINATION SHOTGUN-RIFLES",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,April,2019,2019-04-30,2026-06-26 10:18:17.294486
930520,PARTS AND ACCESSORIES OF SHOTGUNS OR RIFLES OF HEADING 9303,Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,no units collected,April,2019,2019-04-30,2026-06-26 10:18:17.294486
960390,"HAND-OPERATED MECHANICAL (NOT MOTORIZED) FLOOR SWEEPERS, MOPS AND FEATHER DUSTERS; PREPARED KNOTS AND TUFTS FOR BROOM OR BRUSH MAKING, NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,April,2019,2019-04-30,2026-06-26 10:18:17.294486
970600,ANTIQUES OF AN AGE EXCEEDING ONE HUNDRED YEARS,Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,no units collected,April,2019,2019-04-30,2026-06-26 10:18:17.294486
401190,"NEW PNEUMATIC TIRES OF RUBBER, NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,May,2019,2019-05-31,2026-06-26 10:18:17.294486
630622,"TENTS, OF SYNTHETIC FIBERS",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,kilograms,May,2019,2019-05-31,2026-06-26 10:18:17.294486
630790,"MADE-UP TEXTILE ARTICLES, NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,kilograms,May,2019,2019-05-31,2026-06-26 10:18:17.294486
700719,"TOUGHENED (TEMPERED) SAFETY GLASS, NOT SUITABLE FOR INCORPORATION IN VEHICLES, AIRCRAFT, SPACECRAFT OR VESSELS",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,square meters,May,2019,2019-05-31,2026-06-26 10:18:17.294486
732690,"ARTICLES OF IRON OR STEEL, NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,kilograms,May,2019,2019-05-31,2026-06-26 10:18:17.294486
840734,"SPARK-IGNITION RECIPROCATING PISTON ENGINES FOR PROPULSION OF VEHICLES EXCEPT RAILWAY OR TRAMWAY STOCK, OVER 1,000 CC CYLINDER CAPACITY",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,May,2019,2019-05-31,2026-06-26 10:18:17.294486
841330,"FUEL, LUBRICATING OR COOLING MEDIUM PUMPS FOR INTERNAL COMBUSTION PISTON ENGINES",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,May,2019,2019-05-31,2026-06-26 10:18:17.294486
842489,"MECHANICAL APPLIANCES FOR PROJECTING, DISPERSING OR SPRAYING LIQUIDS OR POWDERS, NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,May,2019,2019-05-31,2026-06-26 10:18:17.294486
842542,"JACKS AND HOISTS, HYDRAULIC, EXCEPT BUILT-IN JACKING SYSTEMS USED IN GARAGES",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,May,2019,2019-05-31,2026-06-26 10:18:17.294486
843149,"PARTS AND ATTACHMENTS, NESOI, FOR DERRICKS, CRANES, SELF-PROPELLED BULLDOZERS, GRADERS ETC. AND OTHER GRADING, SCRAPING, ETC. MACHINERY",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,no units collected,May,2019,2019-05-31,2026-06-26 10:18:17.294486
847130,"PORTABLE DIGTL AUTOMATIC DATA PROCESSING MACHINES, WEIGHT NOT MORE THAN 10 KG, CONSISTING OF AT LEAST A CENTRAL PROCESSING UNIT, KEYBOARD & A DISPLAY",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,May,2019,2019-05-31,2026-06-26 10:18:17.294486
847150,"DIGITAL PROCESSING UNITS OTHER THAN THOSE OF 8471.41 AND 8471.49, N.E.S.O.I.",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,May,2019,2019-05-31,2026-06-26 10:18:17.294486
847170,"AUTOMATIC DATA PROCESSING STORAGE UNITS, N.E.S.O.I.",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,May,2019,2019-05-31,2026-06-26 10:18:17.294486
847190,"AUTOMATIC DATA PROCESSING UNTS THEREOF; MAGNETIC/OPTICAL READERS, MACH FOR TRANSCRIBING DATA TO DATA MEDIA IN CODED FORM & MACH FOR PROC DATA, NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,May,2019,2019-05-31,2026-06-26 10:18:17.294486
847330,"PARTS AND ACCESSORIES FOR AUTOMATIC DATA PROCESSING MACHINES AND UNITS THEREOF, MAGNETIC OR OPTICAL READERS, TRANSCRIBING MACHINES, ETC., NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,no units collected,May,2019,2019-05-31,2026-06-26 10:18:17.294486
851712,TELEPHONES FOR CELLULAR NETWORKS OR FOR OTHER WIRELESS NETWORKS,Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,May,2019,2019-05-31,2026-06-26 10:18:17.294486
851762,"MACHINES FOR THE RECEPTION, CONVERSION AND TRANSMISSION OR REGENERATION OF VOICE, IMAGES OR OTHER DATA, INCLUDING SWITCHING AND ROUTING APPARATUS",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,no units collected,May,2019,2019-05-31,2026-06-26 10:18:17.294486
852580,"TELEVISION CAMERAS, DIGITAL CAMERAS AND VIDEO CAMERA RECORDERS",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,May,2019,2019-05-31,2026-06-26 10:18:17.294486
852872,"RECEPTION APPARATUS FOR TELEVISION, COLOR, NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,May,2019,2019-05-31,2026-06-26 10:18:17.294486
854430,"INSULATED IGNITION WIRING SETS AND OTHER WIRING SETS FOR VEHICLES, AIRCRAFT AND SHIPS",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,May,2019,2019-05-31,2026-06-26 10:18:17.294486
870870,ROAD WHEELS AND PARTS AND ACCESSORIES THEREOF FOR MOTOR VEHICLES,Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,no units collected,May,2019,2019-05-31,2026-06-26 10:18:17.294486
871690,"PARTS OF TRAILERS, SEMI-TRAILERS AND OTHER VEHICLES, NOT MECHANICALLY PROPELLED",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,kilograms,May,2019,2019-05-31,2026-06-26 10:18:17.294486
880000,"CIVILIAN AIRCRAFT, ENGINES, AND PARTS",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,no units collected,May,2019,2019-05-31,2026-06-26 10:18:17.294486
890790,"FLOATING STRUCTURES (FOR EXAMPLE, TANKS, COFFERDAMS, LANDING-STAGES, BUOYS AND BEACONS), EXCEPT INFLATABLE RAFTS",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,no units collected,May,2019,2019-05-31,2026-06-26 10:18:17.294486
900211,"OBJECTIVE LENSES AND PARTS AND ACCESSORIES THEREOF FOR CAMERAS, PROJECTORS OR PHOTOGRAPHIC ENLARGERS OR REDUCERS",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,1,number,May,2019,2019-05-31,2026-06-26 10:18:17.294486
900510,BINOCULARS,Greenland,First Unit of Quantity,ForeignExp,Foreign,6,1225,number,May,2019,2019-05-31,2026-06-26 10:18:17.294486
901310,"TELESCOPIC SIGHTS FOR FITTING TO ARMS; PERISCOPES; TELESCOPES FOR OPTICAL, PHOTOGRAPHIC, PRECISION, MEDICAL AND ELECTRICAL MACHINES, APPLIANCES, ETC.",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,495,number,May,2019,2019-05-31,2026-06-26 10:18:17.294486
901380,"OPTICAL DEVICES, APPLIANCES AND INSTRUMENTS, NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,May,2019,2019-05-31,2026-06-26 10:18:17.294486
901390,"PARTS AND ACCESSORIES FOR LIQUID CRYSTAL DEVICES, LASERS (OTHER THAN LASER DIODES) AND OTHER OPTICAL APPLIANCES AND INSTRUMENTS, NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,May,2019,2019-05-31,2026-06-26 10:18:17.294486
901510,RANGEFINDERS,Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,May,2019,2019-05-31,2026-06-26 10:18:17.294486
901580,"SURVEYING INSTRUMENTS AND APPLIANCES, NESOI, HYDROGRAPHIC, OCEANOGRAPHIC, HYDROLOGICAL, METEOROLOGICAL OR GEOPHYSICAL INSTRUMENTS AND APPLIANCES NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,no units collected,May,2019,2019-05-31,2026-06-26 10:18:17.294486
901590,"PARTS ETC. FOR RANGEFINDERS AND SURVEYING, HYDROGRAPHIC, OCEAN OGRAPHIC, HYDROLOGICAL, METEOROLOGICAL OR GEOPHYSICAL INSTRUMENTS AND APPLIANCES NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,no units collected,May,2019,2019-05-31,2026-06-26 10:18:17.294486
902129,DENTAL FITTINGS; AND PARTS AND ACCESSORIES THEREOF,Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,no units collected,May,2019,2019-05-31,2026-06-26 10:18:17.294486
902519,"THERMOMETERS AND PYROMETERS, NOT COMBINED WITH OTHER INSTRUMENTS, NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,May,2019,2019-05-31,2026-06-26 10:18:17.294486
910111,"WRIST WATCHES, BATTERY POWERED, WITH CASES OF PRECIOUS METAL (OR OF METAL CLAD WITH PRECIOUS METAL), WITH MECHANICAL DISPLAY ONLY",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,May,2019,2019-05-31,2026-06-26 10:18:17.294486
910221,"WRIST WATCHES, NOT BATTERY POWERED, WITH CASES OF MATERIALS (EXCEPT OF OR CLAD WITH PRECIOUS METAL) NESOI, WITH AUTOMATIC WINDING",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,May,2019,2019-05-31,2026-06-26 10:18:17.294486
910229,"WRIST WATCHES, NOT BATTERY POWERED, WITH CASES OF MATERIALS (EXCEPT OF OR CLAD WITH PRECIOUS METAL) NESOI, WITHOUT AUTOMATIC WINDING",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,May,2019,2019-05-31,2026-06-26 10:18:17.294486
930330,"SPORTING, HUNTING OR TARGET-SHOOTING RIFLES, EXCEPT MUZZLE-LOADING FIREARMS AND COMBINATION SHOTGUN-RIFLES",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,May,2019,2019-05-31,2026-06-26 10:18:17.294486
930520,PARTS AND ACCESSORIES OF SHOTGUNS OR RIFLES OF HEADING 9303,Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,no units collected,May,2019,2019-05-31,2026-06-26 10:18:17.294486
960390,"HAND-OPERATED MECHANICAL (NOT MOTORIZED) FLOOR SWEEPERS, MOPS AND FEATHER DUSTERS; PREPARED KNOTS AND TUFTS FOR BROOM OR BRUSH MAKING, NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,512,number,May,2019,2019-05-31,2026-06-26 10:18:17.294486
970600,ANTIQUES OF AN AGE EXCEEDING ONE HUNDRED YEARS,Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,no units collected,May,2019,2019-05-31,2026-06-26 10:18:17.294486
401190,"NEW PNEUMATIC TIRES OF RUBBER, NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,June,2019,2019-06-30,2026-06-26 10:18:17.294486
630622,"TENTS, OF SYNTHETIC FIBERS",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,kilograms,June,2019,2019-06-30,2026-06-26 10:18:17.294486
630790,"MADE-UP TEXTILE ARTICLES, NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,kilograms,June,2019,2019-06-30,2026-06-26 10:18:17.294486
700719,"TOUGHENED (TEMPERED) SAFETY GLASS, NOT SUITABLE FOR INCORPORATION IN VEHICLES, AIRCRAFT, SPACECRAFT OR VESSELS",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,square meters,June,2019,2019-06-30,2026-06-26 10:18:17.294486
732690,"ARTICLES OF IRON OR STEEL, NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,kilograms,June,2019,2019-06-30,2026-06-26 10:18:17.294486
840734,"SPARK-IGNITION RECIPROCATING PISTON ENGINES FOR PROPULSION OF VEHICLES EXCEPT RAILWAY OR TRAMWAY STOCK, OVER 1,000 CC CYLINDER CAPACITY",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,June,2019,2019-06-30,2026-06-26 10:18:17.294486
841330,"FUEL, LUBRICATING OR COOLING MEDIUM PUMPS FOR INTERNAL COMBUSTION PISTON ENGINES",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,June,2019,2019-06-30,2026-06-26 10:18:17.294486
842489,"MECHANICAL APPLIANCES FOR PROJECTING, DISPERSING OR SPRAYING LIQUIDS OR POWDERS, NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,June,2019,2019-06-30,2026-06-26 10:18:17.294486
842542,"JACKS AND HOISTS, HYDRAULIC, EXCEPT BUILT-IN JACKING SYSTEMS USED IN GARAGES",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,June,2019,2019-06-30,2026-06-26 10:18:17.294486
843149,"PARTS AND ATTACHMENTS, NESOI, FOR DERRICKS, CRANES, SELF-PROPELLED BULLDOZERS, GRADERS ETC. AND OTHER GRADING, SCRAPING, ETC. MACHINERY",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,no units collected,June,2019,2019-06-30,2026-06-26 10:18:17.294486
